iter	Passed	Remaining
0	38	38512
1	73	36690
2	107	35838
3	133	33301
4	151	30088
5	169	28106
6	188	26685
7	206	25587
8	225	24788
9	244	24173
10	262	23584
11	280	23128
12	300	22793
13	318	22449
14	337	22167
15	357	21957
16	375	21727
17	395	21554
18	414	21384
19	437	21441
20	457	21333
21	477	21216
22	496	21096
23	515	20952
24	534	20841
25	552	20706
26	572	20625
27	591	20536
28	610	20433
29	629	20357
30	649	20316
31	669	20246
32	687	20148
33	706	20069
34	725	20000
35	745	19956
36	764	19889
37	783	19830
38	814	20078
39	834	20036
40	854	19984
41	873	19920
42	892	19862
43	911	19810
44	930	19752
45	949	19688
46	968	19643
47	987	19590
48	1014	19694
49	1033	19636
50	1052	19576
51	1072	19544
52	1093	19531
53	1111	19479
54	1130	19430
55	1149	19376
56	1168	19337
57	1187	19288
58	1207	19255
59	1227	19224
60	1245	19174
61	1264	19125
62	1283	19088
63	1301	19041
64	1321	19002
65	1339	18958
66	1357	18906
67	1376	18870
68	1395	18835
69	1414	18789
70	1437	18806
71	1466	18903
72	1487	18889
73	1508	18879
74	1527	18834
75	1546	18806
76	1566	18780
77	1585	18738
78	1604	18706
79	1624	18685
80	1645	18666
81	1665	18640
82	1685	18619
83	1703	18579
84	1721	18536
85	1740	18497
86	1760	18470
87	1779	18443
88	1798	18411
89	1817	18380
90	1836	18341
91	1854	18307
92	1874	18280
93	1892	18244
94	1911	18213
95	1930	18181
96	1948	18143
97	1967	18107
98	1988	18096
99	2007	18064
100	2026	18035
101	2045	18006
102	2064	17975
103	2090	18007
104	2109	17983
105	2128	17951
106	2147	17921
107	2166	17896
108	2187	17884
109	2206	17852
110	2225	17821
111	2243	17785
112	2262	17757
113	2283	17745
114	2309	17772
115	2328	17742
116	2350	17736
117	2372	17735
118	2393	17722
119	2420	17750
120	2446	17769
121	2477	17829
122	2509	17894
123	2536	17915
124	2557	17901
125	2578	17888
126	2607	17921
127	2628	17907
128	2653	17919
129	2676	17914
130	2696	17885
131	2716	17862
132	2736	17837
133	2754	17803
134	2778	17801
135	2798	17777
136	2817	17749
137	2836	17716
138	2855	17688
139	2874	17657
140	2893	17626
141	2911	17594
142	2930	17562
143	2949	17530
144	2967	17498
145	2993	17511
146	3014	17491
147	3034	17469
148	3053	17441
149	3079	17448
150	3102	17443
151	3121	17417
152	3141	17390
153	3160	17361
154	3178	17330
155	3197	17300
156	3220	17291
157	3240	17271
158	3260	17244
159	3284	17241
160	3303	17216
161	3322	17188
162	3342	17161
163	3361	17133
164	3379	17100
165	3409	17128
166	3428	17102
167	3451	17093
168	3470	17067
169	3495	17064
170	3517	17053
171	3539	17036
172	3558	17011
173	3578	16987
174	3603	16988
175	3623	16964
176	3643	16939
177	3662	16914
178	3682	16890
179	3701	16864
180	3722	16843
181	3747	16842
182	3766	16817
183	3788	16799
